"name","layout","mana_cost","cmc","colors","color_identity","names","type","supertypes","subtypes","types","rarity","text","flavor","artist","number","power","toughness","loyalty","multiverse_id","variations","watermark","border","timeshifted","hand","life","release_date","starter","printings","original_text","original_type","source","image_url","set","set_name","id","legalities","rulings","foreign_names"
"Rakdos Trumpeter","normal","{1}{B}","2.0","['Black']","['B', 'R']","","Creature — Human Shaman","[]","['Human', 'Shaman']","['Creature']","Common","Menace (This creature can't be blocked except by two or more creatures.)
{3}{R}: Rakdos Trumpeter gets +2/+0 until end of turn.","""The louder their performance, the quieter we become in comparison. They are the perfect distractions, for only fools ignore the Rakdos.""
—Lazav","Eric Deschamps","84","1","3","","457228","","rakdos","","","","","","","['RNA']","Menace (This creature can't be blocked except by two or more creatures.)
{3}{R}: Rakdos Trumpeter gets +2/+0 until end of turn.","Creature — Human Shaman","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457228&type=card","RNA","Ravnica Allegiance","c6b71489-183c-599f-adae-29715ac91259","[{'format': 'Future', 'legality': 'Legal'}]","[]","[]"
"Spawn of Mayhem","normal","{2}{B}{B}","4.0","['Black']","['B']","","Creature — Demon","[]","['Demon']","['Creature']","Mythic","Spectacle {1}{B}{B} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.)
Flying, trample
At the beginning of your upkeep, Spawn of Mayhem deals 1 damage to each player. Then if you have 10 or less life, put a +1/+1 counter on Spawn of Mayhem.","","Victor Adame Minguez","85","4","4","","457229","","rakdos","","","","","","","['RNA']","Spectacle {1}{B}{B} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.)
Flying, trample
At the beginning of your upkeep, Spawn of Mayhem deals 1 damage to each player. Then if you have 10 or less life, put a +1/+1 counter on Spawn of Mayhem.","Creature — Demon","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457229&type=card","RNA","Ravnica Allegiance","8ac085f9-dc9c-53af-a9b9-fad1964290ed","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'If each player has 0 life after Spawn of Mayhem’s triggered ability resolves, each player loses the game at the same time and the game ends in a draw.'}, {'date': '2019-01-25', 'text': 'If Spawn of Mayhem gains lifelink, the damage it deals will cause you to simultaneously lose and gain life. If your life total is 1, you won’t lose the game.'}, {'date': '2019-01-25', 'text': 'In a Two-Headed Giant game, Spawn of Mayhem’s last ability causes each team to lose 2 life. Then if your team’s life total is 10 or less, you put a +1/+1 counter on Spawn of Mayhem.'}, {'date': '2019-01-25', 'text': 'Damage dealt to a player causes that player to lose that much life.'}, {'date': '2019-01-25', 'text': 'Spectacle doesn’t change when you can cast the card. For example, you can’t cast a sorcery with spectacle during an opponent’s turn unless another effect allows you to do so, even if that player has lost life this turn.'}, {'date': '2019-01-25', 'text': 'To determine the total cost of a spell, start with the mana cost or alternative cost you’re paying (such as a spectacle cost), add any cost increases, then apply any cost reductions. The converted mana cost of the spell remains unchanged, no matter what the total cost to cast it was.'}, {'date': '2019-01-25', 'text': 'A card’s spectacle cost is the same no matter how much life your opponents lost or how many opponents lost life.'}, {'date': '2019-01-25', 'text': 'In a multiplayer game, if an opponent loses life and later that turn leaves the game, you can cast a spell for its spectacle cost. (If a player leaves the game during their turn, that turn continues without an active player.)'}]","[]"
"Spire Mangler","normal","{2}{B}","3.0","['Black']","['B']","","Creature — Insect","[]","['Insect']","['Creature']","Uncommon","Flash
Flying
When Spire Mangler enters the battlefield, target creature with flying you control gets +2/+0 until end of turn.","Its mandibles can leave a rider in the clouds astride a headless griffin.","Tomasz Jedruszek","86","2","1","","457230","","","","","","","","","['RNA']","Flash
Flying
When Spire Mangler enters the battlefield, target creature with flying you control gets +2/+0 until end of turn.","Creature — Insect","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457230&type=card","RNA","Ravnica Allegiance","cd2fa3ca-31bb-524a-9038-432c64deb704","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Spire Mangler can be the target of its own ability.'}]","[]"
"Thirsting Shade","normal","{B}","1.0","['Black']","['B']","","Creature — Shade","[]","['Shade']","['Creature']","Common","Lifelink
{2}{B}: Thirsting Shade gets +1/+1 until end of turn.","""Your life is a blinding light, your breath a gale, your pulse a deafening drum. Be still. Be still.""
—Dahlya Trul, ""Irbitov Lament""","Seb McKinnon","87","1","1","","457231","","","","","","","","","['RNA']","Lifelink
{2}{B}: Thirsting Shade gets +1/+1 until end of turn.","Creature — Shade","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457231&type=card","RNA","Ravnica Allegiance","c752b43d-6bd8-5da1-b19b-1171906c0ecc","[{'format': 'Future', 'legality': 'Legal'}]","[]","[]"
"Undercity Scavenger","normal","{3}{B}","4.0","['Black']","['B']","","Creature — Ogre Warrior","[]","['Ogre', 'Warrior']","['Creature']","Common","When Undercity Scavenger enters the battlefield, you may sacrifice another creature. If you do, put two +1/+1 counters on Undercity Scavenger, then scry 2.","""We grow strong by feasting on failure.""
—Izoni","Tomasz Jedruszek","88","3","3","","457232","","","","","","","","","['RNA']","When Undercity Scavenger enters the battlefield, you may sacrifice another creature. If you do, put two +1/+1 counters on Undercity Scavenger, then scry 2.","Creature — Ogre Warrior","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457232&type=card","RNA","Ravnica Allegiance","30f76416-3ae3-530b-be6a-8eb2b5b5a67f","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'You choose whether to sacrifice a creature (and which one to sacrifice) while Undercity Scavenger’s ability is resolving. No player may take actions between the time you choose which creature to sacrifice, the time Undercity Scavenger has +1/+1 counters on it, and the time you scry 2.'}, {'date': '2019-01-25', 'text': 'You can’t sacrifice multiple creatures to put more +1/+1 counters on Undercity Scavenger or to scry more.'}]","[]"
"Undercity's Embrace","normal","{2}{B}","3.0","['Black']","['B']","","Instant","[]","[]","['Instant']","Common","Target opponent sacrifices a creature. If you control a creature with power 4 or greater, you gain 4 life.","The undercity is always hungry.","Tyler Walpole","89","","","","457233","","","","","","","","","['RNA']","Target opponent sacrifices a creature. If you control a creature with power 4 or greater, you gain 4 life.","Instant","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457233&type=card","RNA","Ravnica Allegiance","033a8624-bdd9-554d-aec4-858c466149bb","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'You can still gain 4 life even if the target opponent can’t sacrifice a creature.'}, {'date': '2019-01-25', 'text': 'Whether you control a creature with power 4 or greater is checked only after your opponent has sacrificed a creature. If a creature you own with power 4 or greater was exiled until the sacrificed creature left the battlefield, that creature will return to the battlefield before the check, so it will count. However, any abilities that trigger on the sacrificed creature’s death won’t have resolved yet when you check what creatures you control.'}, {'date': '2019-01-25', 'text': 'You gain only 4 life, even if you control more than one creature with power 4 or greater.'}]","[]"
"Vindictive Vampire","normal","{3}{B}","4.0","['Black']","['B']","","Creature — Vampire","[]","['Vampire']","['Creature']","Uncommon","Whenever another creature you control dies, Vindictive Vampire deals 1 damage to each opponent and you gain 1 life.","In theory, the Guildpact keeps guild feuds form spiraling out of control. Personal feuds, however, are not covered.","Randy Gallegos","90","2","3","","457234","","","","","","","","","['RNA']","Whenever another creature you control dies, Vindictive Vampire deals 1 damage to each opponent and you gain 1 life.","Creature — Vampire","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457234&type=card","RNA","Ravnica Allegiance","a4f268e4-2902-5ef7-b2a1-2805365615bc","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'If Vindictive Vampire dies at the same time as one or more other creatures you control, Vindictive Vampire’s ability triggers for each of those other creatures.'}, {'date': '2019-01-25', 'text': 'If your life total is brought to 0 or less at the same time that creatures you control are dealt lethal damage, you lose the game before Vindictive Vampire’s triggered ability goes on the stack.'}, {'date': '2019-01-25', 'text': 'In a Two-Headed Giant game, Vindictive Vampire’s ability causes the opposing team to lose 2 life and you gain 1 life.'}]","[]"
"Act of Treason","normal","{2}{R}","3.0","['Red']","['R']","","Sorcery","[]","[]","['Sorcery']","Common","Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.","Seen through Rakdos eyes, a cruel betrayal is a hilarious stunt.","Scott Murphy","91","","","","457235","","","","","","","","","['A25', 'DDN', 'DPA', 'GTC', 'KTK', 'M10', 'M11', 'M12', 'M14', 'M19', 'ORI', 'PS11', 'RNA']","Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.","Sorcery","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457235&type=card","RNA","Ravnica Allegiance","7ea04bfc-98f6-59aa-834e-0f71aeb91f3d","[{'format': '1v1', 'legality': 'Legal'}, {'format': 'Brawl', 'legality': 'Legal'}, {'format': 'Commander', 'legality': 'Legal'}, {'format': 'Duel', 'legality': 'Legal'}, {'format': 'Frontier', 'legality': 'Legal'}, {'format': 'Future', 'legality': 'Legal'}, {'format': 'Legacy', 'legality': 'Legal'}, {'format': 'Modern', 'legality': 'Legal'}, {'format': 'Pauper', 'legality': 'Legal'}, {'format': 'Penny', 'legality': 'Legal'}, {'format': 'Standard', 'legality': 'Legal'}, {'format': 'Vintage', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Act of Treason can target any creature, even one that’s untapped or one you already control.'}, {'date': '2019-01-25', 'text': 'Gaining control of a creature doesn’t cause you to gain control of any Auras or Equipment attached to it.'}]","[]"
"Amplifire","normal","{2}{R}{R}","4.0","['Red']","['R']","","Creature — Elemental","[]","['Elemental']","['Creature']","Rare","At the beginning of your upkeep, reveal cards from the top of your library until you reveal a creature card. Until your next turn, Amplifire's base power becomes twice that card's power and its base toughness becomes twice that card's toughness. Put the revealed cards on the bottom of your library in a random order.","","Dan Scott","92","1","1","","457236","","","","","","","","","['RNA']","At the beginning of your upkeep, reveal cards from the top of your library until you reveal a creature card. Until your next turn, Amplifire's base power becomes twice that card's power and its base toughness becomes twice that card's toughness. Put the revealed cards on the bottom of your library in a random order.","Creature — Elemental","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457236&type=card","RNA","Ravnica Allegiance","124826c3-1dc1-5199-945e-efcc532e16a2","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Amplifire will be a 1/1 creature from the time your untap step begins until the time its triggered ability resolves during your upkeep.'}, {'date': '2019-01-25', 'text': 'Any effects that modify Amplifire’s power and/or toughness without setting them to a specific number or value will apply after its base power and toughness are set, regardless of the order in which those effects were created. The same is true of counters that modify its power and toughness.'}, {'date': '2019-01-25', 'text': 'If you reveal your entire library and don’t reveal a creature card, Amplifire becomes a 0/0 creature and you put your library back in a random order.'}]","[]"
"Burn Bright","normal","{2}{R}","3.0","['Red']","['R']","","Instant","[]","[]","['Instant']","Common","Creatures you control get +2/+0 until end of turn.","""From a great bonfire at the dawn of time, the first Gruul kindled their rage. The same flame burns in you.""
—Kroshkar, Gruul shaman","Scott Murphy","93","","","","457237","","","","","","","","","['RNA']","Creatures you control get +2/+0 until end of turn.","Instant","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457237&type=card","RNA","Ravnica Allegiance","665da053-e99a-5af3-acb5-bcd3b4c61cfa","[{'format': 'Future', 'legality': 'Legal'}]","[]","[]"
"Burning-Tree Vandal","normal","{2}{R}","3.0","['Red']","['R']","","Creature — Human Rogue","[]","['Human', 'Rogue']","['Creature']","Common","Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.)
Whenever Burning-Tree Vandal attacks, you may discard a card. If you do, draw a card.","The ostentatious splendor of the Orzhov church was just asking to be smashed.","Aaron Miller","94","2","1","","457238","","gruul","","","","","","","['RNA']","Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.)
Whenever Burning-Tree Vandal attacks, you may discard a card. If you do, draw a card.","Creature — Human Rogue","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457238&type=card","RNA","Ravnica Allegiance","97fd928c-4a41-555b-b49a-6083a1b0f4d5","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Riot is a replacement effect. Players can’t respond to your choice of +1/+1 counter or haste, and they can’t take actions while the creature is on the battlefield without one or the other.'}, {'date': '2019-01-25', 'text': 'If a creature entering the battlefield has riot but can’t have a +1/+1 counter put onto it, it gains haste.'}, {'date': '2019-01-25', 'text': 'If you choose for the creature to gain haste, it gains haste indefinitely. It won’t lose it as the turn ends or as another player gains control of it.'}]","[]"
"Cavalcade of Calamity","normal","{1}{R}","2.0","['Red']","['R']","","Enchantment","[]","[]","['Enchantment']","Uncommon","Whenever a creature you control with power 1 or less attacks, Cavalcade of Calamity deals 1 damage to the player or planeswalker that creature is attacking.","Let the Dimir worry about witnesses. For the Rakdos, screams count as applause.","Jonas De Ro","95","","","","457239","","","","","","","","","['RNA']","Whenever a creature you control with power 1 or less attacks, Cavalcade of Calamity deals 1 damage to the player or planeswalker that creature is attacking.","Enchantment","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457239&type=card","RNA","Ravnica Allegiance","6416ac96-4e0c-5437-b4c5-69b9130a5440","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'A creature with power 0 or less can attack, as long as no rule or effect prohibits it from doing so. Many creatures with 0 power have defender, but not all do.'}, {'date': '2019-01-25', 'text': 'The power of the attacking creature is checked only when the ability triggers. Once it triggers, Cavalcade of Calamity will deal 1 damage to the appropriate player or planeswalker even if the creature’s power changes or the creature leaves the battlefield before the ability resolves.'}, {'date': '2019-01-25', 'text': 'If multiple creatures you control with power 1 or less attack, Cavalcade of Calamity’s ability will trigger for each of those creatures. Each ability will cause Cavalcade of Calamity to deal 1 damage to the appropriate player or planeswalker.'}]","[]"
"Clamor Shaman","normal","{2}{R}","3.0","['Red']","['R']","","Creature — Goblin Shaman","[]","['Goblin', 'Shaman']","['Creature']","Uncommon","Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.)
Whenever Clamor Shaman attacks, target creature an opponent controls can't block this turn.","""Little goblin. Big noise.""
—Ruric Thar","Tomasz Jedruszek","96","1","1","","457240","","gruul","","","","","","","['RNA']","Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.)
Whenever Clamor Shaman attacks, target creature an opponent controls can't block this turn.","Creature — Goblin Shaman","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457240&type=card","RNA","Ravnica Allegiance","25b8199b-b926-54b0-84bf-9f0e019f3c57","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Riot is a replacement effect. Players can’t respond to your choice of +1/+1 counter or haste, and they can’t take actions while the creature is on the battlefield without one or the other.'}, {'date': '2019-01-25', 'text': 'If a creature entering the battlefield has riot but can’t have a +1/+1 counter put onto it, it gains haste.'}, {'date': '2019-01-25', 'text': 'If you choose for the creature to gain haste, it gains haste indefinitely. It won’t lose it as the turn ends or as another player gains control of it.'}]","[]"
"Dagger Caster","normal","{3}{R}","4.0","['Red']","['R']","","Creature — Viashino Rogue","[]","['Viashino', 'Rogue']","['Creature']","Uncommon","When Dagger Caster enters the battlefield, it deals 1 damage to each opponent and 1 damage to each creature your opponents control.","""Keep coming. I have knives enough for everyone.""","Viktor Titov","97","2","3","","457241","","","","","","","","","['RNA']","When Dagger Caster enters the battlefield, it deals 1 damage to each opponent and 1 damage to each creature your opponents control.","Creature — Viashino Rogue","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457241&type=card","RNA","Ravnica Allegiance","2126fc60-fdff-5f6e-9086-8ba224fbbe9e","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'In a Two-Headed Giant game, Dagger Caster’s ability causes the opposing team to lose 2 life.'}]","[]"
"Deface","normal","{R}","1.0","['Red']","['R']","","Sorcery","[]","[]","['Sorcery']","Common","Choose one —
• Destroy target artifact.
• Destroy target creature with defender.","""Leave no stone unturned.""
—Ruric Thar","Sidharth Chaturvedi","98","","","","457242","","","","","","","","","['RNA']","Choose one —
• Destroy target artifact.
• Destroy target creature with defender.","Sorcery","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457242&type=card","RNA","Ravnica Allegiance","87909c0d-0645-5107-9cd4-ed034146cc2b","[{'format': 'Future', 'legality': 'Legal'}]","[]","[]"
"Electrodominance","normal","{X}{R}{R}","2.0","['Red']","['R']","","Instant","[]","[]","['Instant']","Rare","Electrodominance deals X damage to any target. You may cast a card with converted mana cost X or less from your hand without paying its mana cost.","""Basically, we turn a bunch of little lightnings into one big lightning.""","Dmitry Burmak","99","","","","457243","","","","","","","","","['RNA']","Electrodominance deals X damage to any target. You may cast a card with converted mana cost X or less from your hand without paying its mana cost.","Instant","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457243&type=card","RNA","Ravnica Allegiance","fa0b95d5-9aba-5367-8013-ac214a74657a","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'If the chosen target becomes an illegal target for Electrodominance, the spell doesn’t resolve. You don’t get to cast a card from your hand.'}, {'date': '2019-01-25', 'text': 'Effects that allow you to “cast” a card don’t allow you to play a land card.'}, {'date': '2019-01-25', 'text': 'If the target is dealt lethal damage this way, it will still be on the battlefield while you cast a card from your hand. It won’t die until after Electrodominance is entirely finished resolving. If any of its abilities trigger while you cast that spell, those abilities will trigger but won’t resolve until after the target has died.'}, {'date': '2019-01-25', 'text': 'You may cast a sorcery or permanent spell this way even if it’s not your turn.'}, {'date': '2019-01-25', 'text': 'If you cast a spell “without paying its mana cost,” you can’t choose to cast it for any alternative costs. You can, however, pay additional costs, such as kicker costs. If the card has any mandatory additional costs, such as that of Bankrupt in Blood, those must be paid to cast the card.'}, {'date': '2019-01-25', 'text': 'If a spell has {X} in its mana cost, you must choose 0 as the value of X when casting it without paying its mana cost.'}]","[]"
"Feral Maaka","normal","{1}{R}","2.0","['Red']","['R']","","Creature — Cat","[]","['Cat']","['Creature']","Common","","""Lost are the lush meadows and verdant forests, where maaka prowled and lammasu soared. Lost are the wilds, where our hearts were free.""
—Daiva, Gruul storyteller","Jonathan Kuo","100","2","2","","457244","","","","","","","","","['RNA']","","Creature — Cat","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457244&type=card","RNA","Ravnica Allegiance","bff91ca8-be57-57a1-80fd-83e460e88c61","[{'format': 'Future', 'legality': 'Legal'}]","[]","[]"
"Flames of the Raze-Boar","normal","{5}{R}","6.0","['Red']","['R']","","Instant","[]","[]","['Instant']","Uncommon","Flames of the Raze-Boar deals 4 damage to target creature an opponent controls. Then Flames of the Raze-Boar deals 2 damage to each other creature that player controls if you control a creature with power 4 or greater.","""Fire will cure a multitude of ills.""","Jason A. Engle","101","","","","457245","","","","","","","","","['RNA']","Flames of the Raze-Boar deals 4 damage to target creature an opponent controls. Then Flames of the Raze-Boar deals 2 damage to each other creature that player controls if you control a creature with power 4 or greater.","Instant","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457245&type=card","RNA","Ravnica Allegiance","3ccfb5d6-2396-57d3-8707-b1584f3c2b83","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'If the target is dealt lethal damage this way, it will still be on the battlefield while Flames of the Raze-Boar deals damage to other creatures, if appropriate. Creatures dealt lethal damage won’t die until after Flames of the Raze-Boar is entirely finished resolving.'}, {'date': '2019-01-25', 'text': 'If the chosen target becomes an illegal target for Flames of the Raze-Boar, the spell doesn’t resolve. No creatures are dealt damage.'}]","[]"
"Gates Ablaze","normal","{2}{R}","3.0","['Red']","['R']","","Sorcery","[]","[]","['Sorcery']","Uncommon","Gates Ablaze deals X damage to each creature, where X is the number of Gates you control.","When the Izzet's spirit of invention extends to the city's infrastructure, the results are sometimes explosive.","Eytan Zana","102","","","","457246","","","","","","","","","['RNA']","Gates Ablaze deals X damage to each creature, where X is the number of Gates you control.","Sorcery","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457246&type=card","RNA","Ravnica Allegiance","cf5538e7-00fa-5539-9ecd-d010397a4709","[{'format': 'Future', 'legality': 'Legal'}]","[]","[]"
"Ghor-Clan Wrecker","normal","{3}{R}","4.0","['Red']","['R']","","Creature — Human Warrior","[]","['Human', 'Warrior']","['Creature']","Common","Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.)
Menace (This creature can't be blocked except by two or more creatures.)","""Today the Rubblebelt is a bit larger. That's a good day's work.""","David Palumbo","103","2","2","","457247","","gruul","","","","","","","['RNA']","Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.)
Menace (This creature can't be blocked except by two or more creatures.)","Creature — Human Warrior","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457247&type=card","RNA","Ravnica Allegiance","74ee8093-534c-5ab5-b1a3-e38e72084d7c","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Riot is a replacement effect. Players can’t respond to your choice of +1/+1 counter or haste, and they can’t take actions while the creature is on the battlefield without one or the other.'}, {'date': '2019-01-25', 'text': 'If a creature entering the battlefield has riot but can’t have a +1/+1 counter put onto it, it gains haste.'}, {'date': '2019-01-25', 'text': 'If you choose for the creature to gain haste, it gains haste indefinitely. It won’t lose it as the turn ends or as another player gains control of it.'}]","[]"
"Goblin Gathering","normal","{2}{R}","3.0","['Red']","['R']","","Sorcery","[]","[]","['Sorcery']","Common","Create a number of 1/1 red Goblin creature tokens equal to two plus the number of cards named Goblin Gathering in your graveyard.","Two's a party. Three's a felony.","Svetlin Velinov","104","","","","457248","","","","","","","","","['RNA']","Create a number of 1/1 red Goblin creature tokens equal to two plus the number of cards named Goblin Gathering in your graveyard.","Sorcery","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457248&type=card","RNA","Ravnica Allegiance","f6a8ca15-60a3-5e2d-b2f3-21501ef9c8e1","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Goblin Gathering is still on the stack while you count the cards named Goblin Gathering in your graveyard. It doesn’t count itself.'}]","[]"
"Gravel-Hide Goblin","normal","{1}{R}","2.0","['Red']","['G', 'R']","","Creature — Goblin Shaman","[]","['Goblin', 'Shaman']","['Creature']","Common","{3}{G}: Gravel-Hide Goblin gets +2/+2 until end of turn.","""No peace accord will save Ravnica. You don't build on rot. You burn it down and start again.""
—Domri Rade","Jonathan Kuo","105","2","1","","457249","","gruul","","","","","","","['RNA']","{3}{G}: Gravel-Hide Goblin gets +2/+2 until end of turn.","Creature — Goblin Shaman","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457249&type=card","RNA","Ravnica Allegiance","dd346183-81e9-5a1c-abb9-748ce4e91b6b","[{'format': 'Future', 'legality': 'Legal'}]","[]","[]"
"Immolation Shaman","normal","{1}{R}","2.0","['Red']","['R']","","Creature — Viashino Shaman","[]","['Viashino', 'Shaman']","['Creature']","Rare","Whenever an opponent activates an ability of an artifact, creature, or land that isn't a mana ability, Immolation Shaman deals 1 damage to that player.
{3}{R}{R}: Immolation Shaman gets +3/+3 and gains menace until end of turn.","""Hello, kindling.""","Svetlin Velinov","106","1","3","","457250","","","","","","","","","['RNA']","Whenever an opponent activates an ability of an artifact, creature, or land that isn't a mana ability, Immolation Shaman deals 1 damage to that player.
{3}{R}{R}: Immolation Shaman gets +3/+3 and gains menace until end of turn.","Creature — Viashino Shaman","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457250&type=card","RNA","Ravnica Allegiance","91b7f251-0efe-5956-b05c-e9e0a020e3ce","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Activated abilities contain a colon. They’re generally written “[Cost]: [Effect].” Some keyword abilities are activated abilities and will have colons in their reminder text (such as equip does). An activated mana ability is one that produces mana as it resolves, not one that costs mana to activate.'}, {'date': '2019-01-25', 'text': 'Immolation Shaman’s first ability doesn’t trigger when an opponent activates an ability of a card in hand (such as cycling) or a card in a graveyard (such as that of Bone Dragon), even if that causes a card to be put onto the battlefield.'}, {'date': '2019-01-25', 'text': 'Immolation Shaman’s first ability resolves before the ability that caused it to trigger.'}, {'date': '2019-01-25', 'text': 'Activating Immolation Shaman’s second ability after one creature has blocked it won’t cause Immolation Shaman to become unblocked.'}, {'date': '2019-01-25', 'text': 'Multiple instances of menace on the same creature are redundant.'}]","[]"
"Light Up the Stage","normal","{2}{R}","3.0","['Red']","['R']","","Sorcery","[]","[]","['Sorcery']","Uncommon","Spectacle {R} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.)
Exile the top two cards of your library. Until the end of your next turn, you may play those cards.","""Places, everyone!""
—Judith","Dmitry Burmak","107","","","","457251","","rakdos","","","","","","","['PRNA', 'RNA']","Spectacle {R} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.)
Exile the top two cards of your library. Until the end of your next turn, you may play those cards.","Sorcery","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457251&type=card","RNA","Ravnica Allegiance","326f87cd-9bb1-5705-9174-d0dd67c0de33","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Light Up the Stage doesn’t change when you can play the exiled cards. For example, if you exile a sorcery card, you can cast it only during your main phase when the stack is empty. If you exile a land card, you can play it only during your main phase and only if you have an available land play remaining.'}, {'date': '2019-01-25', 'text': 'Casting an exiled card causes it to leave exile. You can’t cast it multiple times.'}, {'date': '2019-01-25', 'text': 'If you don’t play a card exiled this way, it remains in exile.'}, {'date': '2019-01-25', 'text': 'Damage dealt to a player causes that player to lose that much life.'}, {'date': '2019-01-25', 'text': 'Spectacle doesn’t change when you can cast the card. For example, you can’t cast a sorcery with spectacle during an opponent’s turn unless another effect allows you to do so, even if that player has lost life this turn.'}, {'date': '2019-01-25', 'text': 'To determine the total cost of a spell, start with the mana cost or alternative cost you’re paying (such as a spectacle cost), add any cost increases, then apply any cost reductions. The converted mana cost of the spell remains unchanged, no matter what the total cost to cast it was.'}, {'date': '2019-01-25', 'text': 'A card’s spectacle cost is the same no matter how much life your opponents lost or how many opponents lost life.'}, {'date': '2019-01-25', 'text': 'In a multiplayer game, if an opponent loses life and later that turn leaves the game, you can cast a spell for its spectacle cost. (If a player leaves the game during their turn, that turn continues without an active player.)'}]","[]"
